index,question,score,질문_1,비교,답변
42,질문_4,0.341279751,사무실의 실내공기 시료채취 및 측정지점이 어떻게 돼?,질문_4 : 사무실의 실내공기 측정을 위해 어떤 장비가 필요한지 알려주세요.,"사무실의 실내공기 측정을 위해서는 공기질이 가장 나쁠 것으로 예상되는 2곳 이상에서 시료를 채취해야 합니다. 이때, 측정은 사무실 바닥면으로부터 0.9미터 이상 1.5미터 이하의 높이에서 진행되어야 합니다. 만일 사무실 면적이 500제곱미터를 초과하는 경우에는 500제곱미터마다 1곳씩 추가적으로 측정지점을 설정해야 합니다. 이렇게 함으로써 측정 시료를 평균화시켜서 정확한 결과를 얻을 수 있습니다."
72,질문_3,0.562040216,준불연재료가 뭐야?,질문_3 : 준불연재료는 무엇인가요?,"준불연재료는 화재에 저항이 있는 소재로, 화재에 10분 동안 견딜 수 있는 소재를 말합니다. 이러한 소재들은 화재 안전성을 높이는 데 사용됩니다."
72,질문_4,0.372373688,준불연재료가 뭐야?,질문_4 : 준불연재료의 종류를 알려주세요.,"준불연재료는 화재에 저항이 있는 소재로, 화재에 10분 동안 견딜 수 있는 소재를 말합니다. 이러한 소재들은 화재 안전성을 높이는 데 사용됩니다."
135,질문_4,0.551116687,강화마루에 대해 알려줘,질문_4 : 강화마루는 다른 바닥재료와 비교했을 때 명확하고 깔끔한 장점이 있나요?,"강화마루는 원목 무늬 필름지를 입혀 하드코팅 처리한 바닥재를 말합니다. 일반적으로 1평당 7~12만원의 가격대로 거래되며, 온도나 습도에 의한 변색이 거의 없고 강도가 뛰어나 수명이 긴 장점이 있습니다. 다만, 필름지로 코팅되어 있어 질감이나 보행감이 떨어진다는 단점이 있습니다. 추가로, 강화마루는 물에 젖었을 때 미끄러운 경향이 있으므로 주의가 필요합니다."
163,질문_2,0.562646437,아스팔트슁글이 뭐야?,질문_2 : 아스팔트슁글은 무엇을 위해 사용되는 재료인가요?,"아스팔트 슁글(Asphalt shingle)은 석유의 휘발성 물질이 증발되고 남은 잔유물로 만들어진 점성이 있는 지붕재료입니다. 이러한 특성으로 방수 기능이 뛰어나고, 지붕 마감재로 많이 사용됩니다. 아스팔트 슁글은 경제적이며 보수가 쉽고 설치가 간편하다는 점에서 매우 인기가 있습니다. 또한 다양한 색상과 디자인으로 제공되어, 다양한 스타일의 건물에 적용할 수 있습니다."
213,질문_4,0.594290876,발포우레탄폼의 단점이 뭐야?,질문_4 : 발포우레탄폼 사용 시 주의사항을 알려주세요.,"발포우레탄폼의 단점으로는 붕레의 특성 상 매우 취약하며, 사용 중에 연소되면 유독가스를 발생시킨다는 점이 있습니다. 이로인해 안전에 대한 측면에서 주의가 요구됩니다."
233,질문_2,0.596697131,내후성강판이 뭐야?,질문_2 : 내후성강판은 어떤 재료로 만들어지고 어떤 용도에 주로 사용되는지 알려주세요.,"내후성 강판은 철강재에 소량의 인, 동, 크롬, 니켈 등을 첨가하여 만든 자재로, 표면에 치밀한 녹층이 형성됩니다. 이는 물과 산소의 투과를 제한하여 부식을 억제하고, 결과적으로 일반 강에 비해 4~8배의 내후성을 가지게 됩니다. 이러한 특성으로 외부의 부식 진행을 효과적으로 방지하여 내구성을 높이는 장점을 갖고 있습니다."
233,질문_4,0.545617664,내후성강판이 뭐야?,질문_4 : 내후성강판은 무엇으로 만들어지고 주로 사용되는 용도에 대해 설명해주세요.,"내후성 강판은 철강재에 소량의 인, 동, 크롬, 니켈 등을 첨가하여 만든 자재로, 표면에 치밀한 녹층이 형성됩니다. 이는 물과 산소의 투과를 제한하여 부식을 억제하고, 결과적으로 일반 강에 비해 4~8배의 내후성을 가지게 됩니다. 이러한 특성으로 외부의 부식 진행을 효과적으로 방지하여 내구성을 높이는 장점을 갖고 있습니다."
266,질문_4,0.593877915,워쉬프라이머가 뭐야?,질문_4 : 워시프라이머에 대해 설명해주세요.,"워쉬프라이머는 합성수지를 기반으로 하며, 주로 뿜칠로 도장하여 방청도료의 부착성과 효과를 증진시키는 역할을 합니다. 이 과정에서 안료와 인산이 첨가되어 안정적인 도료 효과를 얻을 수 있습니다."
280,질문_4,0.305099469,흡음재 중 판 진동형이 뭐야?,질문_4 : 판 진동형 흡음재에 조금 더 자세히 설명해 주실 수 있을까요?,"흡음재 중 판 진동형은 벽과 일정 간격을 두고 설치되는 얇고 통기성이 없는 판으로, 소리가 전달될 때 이 판이 진동하여 마찰에 의해 소리가 소멸되는 형태의 흡음재입니다. 이러한 판상형 흡음재는 주로 소리를 흡수하는 것보다는 저주파의 진동음을 소멸시키는 데 주로 사용되며, 따라서 전체적인 흡음률은 높지 않은 특징을 가지고 있습니다."
286,질문_3,0.592506188,아스팔트슁글의 장점이 뭐야?,질문_3 : 아스팔트슁글의 장점을 알려줄 수 있을까?,"아스팔트슁글은 저렴한 가격과 쉬운 시공, 경량 제품이라는 장점을 가지고 있습니다. 또한 목조주택과 잘 어울리며 지진에 강한 특징을 가지고 있습니다. 아스팔트슁글은 저렴하면서도 튼튼한 지붕재로 인기가 많습니다."
358,질문_3,0.584233814,면 불량은 뭐야?,질문_3 : 면 불량이란 무엇인지 말해줄래?,"면 불량은 부착된 도배지가 평평하지 않고 국소적으로 튀어나온 형태의 하자를 말합니다. 이는 못이나 기타 이물질로 인해 발생할 수도 있고, 잘못된 설치로 인해 발생할 수도 있습니다. 못이나 기타 이물질에 의한 경우에는 벽면의 불평면을 조정하고 재작업을 해야 하며, 잘못된 설치로 인해 발생한 경우에는 부분 혹은 전체 재작업이 필요합니다. 이러한 작업은 개인이 시행하기 어렵기 때문에 전문가의 도움을 받는 것이 좋습니다."
367,질문_4,0.370659271,도배지 무늬의 패턴이 이어지지 않아,질문_4 : 도배지 무늬의 패턴을 연속적으로 만드는 방법이 있을까요?,"도배지 무늬의 패턴이 이어지지 않는 하자는 이음부 하자로 알려져 있습니다. 이음부 하자는 도배지 끝 부분에서 발생하는데, 주로 부주의한 시공과 공간 내 높은 습도로 인해 발생합니다. 시공자의 부주의로 인해 도배지 무늬 패턴에 맞게 시공되지 않거나, 높은 습도로 인해 도배 풀의 접착력이 떨어져 이음부 불량이 발생할 수 있습니다. 따라서 시공자의 부주의를 방지하고, 실내 습도를 관리하여 적정 수준으로 유지함으로써 이런 하자를 방지할 수 있습니다. 만약 이런 하자가 발생한다면, 시공사에 연락하여 재시공을 요청할 수 있습니다. 습도 관리는 건물의 소유자나 거주자의 책임이므로, 제습기를 가동하고 실내 적정 습도를 유지하는 것이 중요합니다. 또한, 전문가의 도움을 받아 보수 작업을 하는 것을 권장합니다."
371,질문_4,0.593144119,공간 내 높은습도로 인해 도배지에 얼룩이 발생할 수 있어?,질문_4 : 습도에 의한 도배지 얼룩 제거를 위한 가장 효과적인 방법은 무엇인가요?,"높은 습도로 인해 도배지의 표면이 젖으면, 다양한 물질이 흡수되기 쉽습니다. 이는 도배지에 얼룩 형태로 나타날 수 있는데, 일반적으로 물, 오염물질, 또는 곰팡이와 같은 성장 요인들이 원인이 될 수 있습니다. 따라서 공간의 습도를 적정 수준으로 유지하고, 필요에 따라 제습기나 환풍기를 이용하여 습도를 조절하는 것이 중요합니다. 또한 공간 내 습기 관리를 위해 적절한 환기와 건조가 필요하며, 공간 내 곰팡이가 발견된다면 즉시 제거하는 것이 좋습니다."
530,질문_3,0.498115573,인테리어에서 바닥재를 선택할 때 주의해야 할 점은 무엇인가요?,질문_3 : 인테리어에서 바닥재를 선택할 때 주의해야 할 점을 알려주세요.,"바닥재를 선택할 때 주의해야 할 점은 사용 공간의 특성과 용도, 가구와의 어울림, 청소와 유지보수의 용이함, 내구성 및 방수성 등을 고려하여 적합한 소재를 선택해야 합니다. 또한 바닥재의 색상과 질감은 전체 공간의 분위기와 인테리어 디자인에 영향을 미치므로 신중하게 고려해야 합니다."
