질문_2,질문_4,index,질문_4_replace
철골구조의 장점을 알려줘,철골 구조의 장점에 대해 알려드리겠습니다.,10,철골구조의 장점을 설명해줄래?
철골구조에 대해 좀 더 알려주시겠어요?,철골구조에 대한 추가 설명을 부탁드립니다.,14,철골구조에 대해 더 자세히 설명해 주실 수 있나요?
흡음이란 무엇인가요?,흡음은 어떤 음향이나 소음을 외부로부터 차단하여 내부로 들어오는 것을 막는 기술이다.,39,흡음는 어떤 의미인가요?
새집증후군에 대해 좀 더 알려주세요.,새집증후군에 대한 추가적인 설명을 알려드릴게요.,40,새집증후군에 관해 더 자세히 설명해 주실 수 있나요?
개별 공간과 오픈 플랜 공간 중에서 어떤 것이 더 나에게 알맞은 것인가요?,"어떤 공간이 나에게 가장 적합한지 알려주세요, 개별 공간인지 오픈 플랜 공간인지요.",62,개인적인 공간과 공동작업 공간 중 어떤 것이 내게 더 적합한가요?
흡음재 중에 다공질이 무엇인가요?,"다공질이란 흡음재 중 하나로, 많은 구멍이 뚫려 있는 재질을 의미합니다.",84,흡음재에서 다공질은 무엇인가요?
송판 노출콘크리트에 대해 좀 더 자세히 알려주세요.,송판 노출콘크리트에 대한 자세한 설명을 부탁드립니다.,90,송판 노출콘크리트에 대해 자세히 설명해 주실 수 있나요?
송판 노출콘크리트의 단점에 대해 알려주세요.,송판 노출콘크리트의 단점을 알려드리겠습니다.,94,송판 노출콘크리트의 단점을 설명해 주실 수 있나요?
알루미늄 샤시의 단점에 대해 알려주실 수 있나요?,알루미늄 샤시의 단점에 대한 설명을 부탁 드립니다.,151,알루미늄 샤시의 단점을 설명해 주실 수 있나요?
아이가 있는 집에서는 두꺼운 장판과 마루 중 어떤 것을 선택하는 게 더 안전한가요?,아이가 있는 집에서는 두꺼운 장판을 선택하는 것이 더 안전합니다.,166,두꺼운 장판과 마루 중 어떤 것이 아이가 있는 집에서 안전한가요?
금속기와의 단점을 알려주세요.,금속기의 단점을 알려드릴게요.,198,금속기의 단점을 설명해 주실 수 있나요?
알러지가 있는 사람들이 사용하기에 좋은 벽지 소재가 있는지 알고 싶습니다.,알러지를 가진 사람들을 위한 벽지 소재가 있는지 알고 싶어요.,208,알레르기가 있는 사람들이 안전하게 사용할 수 있는 벽지 소재가 있는지 알려줄 수 있어?
페인트의 종류는 어떤 성분에 따라 다르나요?,페인트는 성분에 따라 다양한 종류가 있습니다.,209,페인트의 종류는 어떤 성분으로 구분되나요?
다공질 흡음재 중 타공보드가 무엇인가요?,타공보드는 다공질 흡음재의 일종입니다.,219,다공질 흡음재인 타공보드의 특징은 무엇인가요?
큐블럭은 어떤 건물 구조물을 만들 때 사용되는 건축자재인가요?,큐블럭은 건물 구조물을 만들 때 사용되는 건축자재입니다.,271,큐블럭은 어떤 건축 구조물을 만들 때 사용하는지 설명해 주실 수 있나요?
모노벽돌의 단점에 대해 알려주세요.,모노벽돌의 단점을 알려드리겠습니다.,275,모노벽돌의 단점을 알려줄 수 있나요?
다공질 흡음재 중 목모보드가 무엇인가요?,목모보드는 다공질 흡음재 중 하나입니다.,293,다공질 흡음재에서 목모보드가 무엇인지 알려줄 수 있나요?
청고벽돌의 단점에 대해 알려주세요.,청고벽돌의 단점을 알려드릴게요.,298,청고벽돌의 단점을 알려줄 수 있나요?
장판의 단점에는 무엇이 있나요?,장판은 단점을 갖고 있다.,313,장판의 단점은 무엇인가요?
점토기의 장점에 대해서 자세히 알려주세요.,점토기의 장점을 간결하게 설명해드리겠습니다.,327,점토기의 장점을 자세히 설명해 주실 수 있나요?
"건조시간이 부족하면 도배지에 울음이 발생할 수 있다는데, 왜 건조시간이 부족하면 울음이 발생하는 건가요?",건조시간이 충분하지 않으면 도배지에 울음이 생길 수 있다.,330,도배지가 충분히 건조되지 않으면 울음이 발생할 수 있는 이유를 알려줄 수 있어?
도배지를 완전히 제거하지 않고 벽지를 교체하면 도배지가 찢어질 가능성이 있을까요?,벽지를 교체할 때 도배지를 완전히 제거하지 않으면 도배지가 찢어질 수도 있다.,332,벽지를 바꿀 때 도배지를 완전히 제거하지 않으면 찢어질 가능성이 있어?
하자가 발생한 지 1년 이내인 경우 보수 작업은 어떻게 진행해야 하나요?,보상 작업은 하자 발생 후 1년 이내에 진행되어야 합니다.,336,하자가 발생한 지 1년 이내일 경우 어떻게 보수 작업을 수행해야 합니까?
도배지가 왜 꼬이는지 알고 싶어요.,도배지가 왜 꼬이는지 궁금하다.,337,도배지가 왜 꼬이는지 알려줄 수 있어?
도배지와 몰딩면의 틈새를 메우는 가장 효과적인 방법이 무엇인가요?,가장 효과적인 방법은 도배지와 몰딩면의 틈새를 메우는 것이다.,343,도배지와 몰딩면의 간격을 메우는 가장 효과적인 방법은 무엇인가요?
부주의한 시공으로 인해 도배지 패턴이 연결되지 않는 경우가 있나요?,도배지 패턴이 연결되지 않는 경우는 부주의한 시공으로 인해 발생할 수 있습니다.,347,주의를 기울이지 않은 시공으로 인해 도배지 패턴이 이어지지 않는 경우가 있나요?
면 불량이 무엇인지 설명해 주실 수 있나요?,불량이란 것은 어떤 것이 잘못되거나 품질이 나쁜 상태를 말합니다.,358,면 불량이란 무엇인지 간단하게 설명해 주실 수 있을까요?
